LSDnegative,LSDpositive
derision,grin
derisiv,grinn
derogator,grins
deserted,guardian
deserter,guiltless
desertion,gusto
desolat,guts
despair,hairif
desperat,handsom
despicab,handy
despis,happi
despiteful,happy
despondant,hard earned
desponden,hard fought
destitut,hard work
destroy,hardi
destruct,hardworking
desultory,hardy
detached,harmless
deter,harmonic
deteriorat,harmonies
determent,harmonious
deterred,harmonists
deterrence,harmonium
deterrent,harmony
deterring,harness
deters,heal
detest,healed
detract,healing
detrimental,heals
devalu,healthful
devastat,healthi
devil,healthy
devious,heart and soul
devoid,heart stirring
devour,hearten
diabolic,heartfelt
dick,hearti
dicks,hearts
dictat,heartwarm
die,hearty
died,heaven
dies,help
difficult,helped
diffus,helper
dilapidat,helpful
dilemma,helping
dim,helps
dimly,hero
dimm,heroes
dimness,heroic
dims,heroine
dimwit,heroism
din,heros
dingy,high end
dink,high expectation
dins,high point
dire,high rank
direful,high regard
direr,highbrow
direst,highly rated
dirge,hilari
dirt,hilariou
disab,holiday
disadvantag,homag
disaffect,home run
disagre,home stretch
disagree,homed
disagreement,homey
disappoint,honest
disappointment,honesty
disapprov,honeymoon
disast,honor
disavow,honour
disbelief,hope
disclaim,hoped
discomfitur,hopeful
discomfort,hoper
discompos,hopes
disconcert,hoping
disconnect,hospitab
disconsolat,hug
discontent,hugg
discord,hugs
discordant,humane
discourag,humanitarian
discredit,humility
discrepan,humor
discrimina,humored
disdain,humoring
diseas,humorist
disenchant,humorous
disfavor,humors
disfavour,humour
disgrac,humoured
disgruntl,humouring
disgust,humourist
dishearten,humourous
dishevel,humours
dishonest,hurra
dishonor,hypnoti
dishonour,ideal
disillusion,idealise
disinclin,idealistic
disingenuous,idealize
disinterest,ideally
dislik,ideals
disloyal,illum
dismal,illustriou
dismay,imaginative
dismiss,immaculat
disobedien,immortal
disobey,impartial
disorder,impeccable
disorgani,impress
disparag,impressed
disparat,impresser
dispel,impresses
dispirit,impressing
displac,impressionable
displeas,impressive
displeasur,improve
dispose,improved
disproportionat,improvement
disput,improves
disquiet,improving
disregard,impunity
disrespect,in control
disrupt,in gear
dissatisf,in obedience to
dissent,in still water
disservice,inaugurat
dissimilar,incentive
dissipat,indispens
dissociat,indomitab
dissolution,indulge in
distast,indulgen
distort,industrious
distract,inexpensiv
distraught,infallib
distres,ingenious
distress,innocen
distressing,innocuous
distrust,innovat
disturb,inquisitiv
dither,inseparab
divert,insistent
divide,inspir
divided,intact
divider,integrity
divides,intellect
dividing,intelligence
divisi,intelligent
divorc,intelligible
dizz,interesting
doldrum,intimacy
doleful,intimat
dolor,invaluab
dolour,inventive
domineer,invite
donkey,inviting
doom,invulnerab
dophagy,jewel
double,jocular
doubt,jocund
doubtable,join
doubted,joined
doubter,joining
doubtful,jok
doubting,joll
doubts,jovial
downcast,joy
downfall,joyance
downhearted,joyed
downhill,joyful
downplay,joyous
downside,joys
downtrodden,jubila
drab,justif
drag,justify
dragged,keen
dragging,keep pace with
drags,keeping
drained,kidded
drawback,kidder
dread,kidding
dreary,kind word
droop,kinder
drown,kindest
drowsy,kindheart
drunk,kindly
dubious,kindness
dudgeon,kindred
dull,kiss
dumb,knowledg
dumm,laid back
dump,laidback
dun,laud
dunce,lavish
dunderhead,lawful
dung,learn
duped,legitima
duplicit,leisur
dwindl,liberat
dying,liberation
dysfunction,libert
eccentric,lighten
effac,lighthearted
egotis,likab
elegy,like
eliminat,likeab
embarrass,liked
embitter,liker
emergencies,likes
emergency,liking
emotionless,limelight
emptied,livel
empties,load off
emptiness,long live
empty,look for
encroach,look to
endanger,look up to
enemi,lovab
enemy,love
engrossed,love struck
engulf,loveable
enmity,loved
ennui,loveli
enrag,lovely
enslav,lover
entangl,loves
entitlement,lovey
envie,loving
envied,loyal
envies,lucid
envious,luck
envy,lucked
epidemic,lucki
equivoca,lucks
eradicat,lucky
eras,lucrativ
erod,lullaby
erosion,luminous
err,lustrous
errancy,lute
errant,luxur
erratic,magestic
erred,magnific
erring,majestic
erroneous,majesty
error,make head
errs,manageab
esoteric,manly
estrang,manna
eulogi,marvel
evad,masterful
evasiv,masterly
evict,mastery
evil,matchless
eviscerat,mate
exacerbat,matur
exaggera,maturity
exasperat,meaningful
excessiv,mellow
exclud,memorab
exclusion,mend
excommunicat,mended
excoriat,mender
excruciat,mending
execrab,mends
execrat,merciful
exhaust,mercy
exile,merit
expel,merr
explod,mesmeri
exploit,meticulous
explosi,mild
exterminat,milder
extinct,mildest
extinguish,mildly
extravagant,mildness
extreme,milestone
extremi,mindful
eyesore,mint condition
fabrication,mirac
fade,mirth
fading,mitigat
fail,moderate
faint,moderated
faithless,moderately
fake,moderates
fallacies,moderating
fallacious,moderation
fallacy,modest
fallen,momentous
fallout,moral
fallow,morale
fals,moralist
falsehood,morality
falseness,morally
falter,morals
famine,nabob
famished,neat
fanatic,neck and crop
fascis,nestl
fash,neutral
fashed,neutrality
fashes,neutrally
fashing,nice
fastidious,nimbl
fatal,nirvana
fatigu,nobility
fault,nobl
faulted,nonaggress
faulti,nonbelligeren
faults,nondestructiv
faulty,nonjudgmental
favortitism,nonmalignant
favourititsm,nonpolluting
fawn,nontoxic
faze,nonviolen
fear,normal
feared,normalcy
fearful,notab
fearing,notori
fears,nourish
fed up,nurtur
feebl,oblige
feign,obliged
feint,obliger
feroc,obliges
feud,obliging
feudal,observant
feuded,obtain
feuding,occupied with
feuds,of note
fiasco,officious
fickl,ok
fidget,okay
fiefdom,on track
fiend,one of a kind
fierc,onward
fiery,open
fight,openly
filth,openminded
filthy,openness
fishy,opportune
flabbergast,opportunities
flaw,opportunity
flawed,optim
flaws,orderly
flimsy,organic
flinch,outflank
flip,outgoing
flippan,outliv
flipped,outstand
flipping,outwit
flips,overjoy
flop,pacifie
flounder,pacify
flunk,painless
flurry,painstaking
fluster,palac
flutter,palatab
foe,panache
fog,paradis
fogg,paramount
foggy,pardon
fogs,partner
foibl,passion
foil,passionate
folly,passions
foment,pat
fool,patch up
foppish,patienc
forbid,patiently
forced,patriot
forcing,peace
forebade,peerless
forebid,penchant
forebod,perceptiv
forfeit,perfect
forget,perfecta
forgot,perfected
forlorn,perfecter
formidab,perfection
forsake,perfecto
fought,perfects
foul,perk up
foundered,permission
fractur,permissiv
fragil,persever
frail,persuasiv
frantic,pertinent
fraud,picturesqu
fraught,pious
frazzl,placid
freak,plaudit
freezing,plausi
frenz,play it cool
fret,playful
friendless,pleasant
fright,pleasantry
frigid,pleased
fritter,pleasing
frivol,pleasur
frown,pleasurab
frozen,pledg
fruitless,plentiful
frustrat,poetic
fuck,poetry
fulsom,poignant
fumbl,poise
fume,polish
fuming,polite
funereal,pomp
furiou,portable
fury,positiv
fuss,positivity
futil,potent
gall,potently
galled,powerful
galling,practicab
gallow,practical
gambl,prais
gang,precaution
garbl,precious
gash,precis
gashed,preeminent
gashes,preferenc
gashing,preparatory
gasp,prestig
gaud,pretti
germ,priceless
germs,prid
ghastly,princely
ghost,principal
ghostli,principl
ghostly,privileg
ghosts,prize
gloat,proactive
gloom,problem free
glower,problem solv
glum,productive
glut,productively
glutton,professionalism
gnash,proficien
god knows,progress
goddam,progressive
goddamn,prolific
goodbye,prominen
gorgonian,prompt
grab,promptly
graceless,promptness
grappl,proper
grasp,properly
grating,properness
gratuitous,propitious
grave,prosper
grave,protect
greed,proud
grie,provide
grievous,providence
grim,providing
grind,prowess
grinder,pruden
grinding,punctual
grindingly,pureness
gripe,purer
grizzly,purest
groan,purif
grogg,purity
gross,purposeful
grossly,quaint
grotesqu,quality
grouch,quietly
groundbreaking,quoits
grovel,radian
growl,radiate
grubby,radiated
grudg,radiates
gruelling,radiating
gruff,raptur
grumbl,rational
grump,rationally
guilt,readiness
guilti,ready
guilty,reaffirm
gullib,reanimat
gunk,reasonab
gutless,reassur
hack,receptiv
hades,reclaim
haggard,reconcil
half hearted,recover
half mast,recreation
halt,recreativ
halted,rectif
halting,rectitude
halts,red hot
hamper,redeem
handicap,reestablish
hang by a thread,refreshing
hang over,regardful
hanged,regularity
hangover,reinforc
haphazard,reinstat
hapless,rejoic
harang,relating to belief
harass,relax
hard,relevancy
harden,relevant
harder,reliab
hardest,reliant
hardhead,relief
hardhearted,reliev
hardship,relish
harm,remarkab
harmed,remedy
harmer,remodel
harmful,renovat
harming,renown
harms,repair
harried,repaired
harsh,repairing
hassl,repairs
hate,reparation
hating,reparte
hatr,repriev
haught,reputab
haunt,rescu
havoc,resolut
hazard,resolv
haze,resourceful
hazed,resources
hazer,respect
hazes,respectab
hazi,respected
hazy,respectful
headach,respects
heart break,resplendent
heart rending,responsib
heart wounding,responsiv
heart wrench,restful
heartache,restor
heartbreak,revel
heartbroke,reveling
heartburn,revell
heartless,revels
heartsick,revere
heavily,revitaliz
heavy,reviv
heckl,revolutionary
heedless,revolutioniz
heinous,reward
hell,rich
hellbender,right
hellcat,righted
hellfire,righteous
hellhole,rightful
hellhound,righting
hellion,rightly
hellish,rights
hells,ripe
helpless,ripen
hesita,ripest
hid,robust
hinder,rollick
hindranc,romanc
hissing,romantic
hits,rosy
hitt,sacred
hoax,safe
hobbl,safeguard
holier than thou,safekeeping
hollow,safely
holocaust,safeness
homeless,safer
homeli,safest
homely,safety
homesick,sagacity
homicid,sage
homophob,sagely
hoodwinked,sageness
hopeless,sages
horr,sagest
hostage,saint
hostil,salut
hot headed,salvage
hot potato,salvaged
hot seat,salvages
hot spot,salvation
hotbed,sanctify
hothead,sane
hotheaded,sanguin
hound,sanitary
huff,sanity
humiliat,sapid
humorless,satisf
humourless,savvy
hurt,schoolfellow
hustl,schoolman
hypercritical,scrumptious
hypochondriac,scrupulous
hypocri,secure
hysteri,secured
icy,secures
ideologue,securing
idiot,seducing
idle,seductiv
ignob,sedulous
ignom,seize the day
ignor,self control
ill,self motivated
illegal,selfishless
illegitima,selfless
illicit,sensation
illitera,sensational
illness,sensations
illogic,sense
illomen,senses
ills,sensitiv
illusion,sensual
illusive,sensuous
illusory,serene
imbalance,serenity
immatur,set clear
immoral,sexier
immovab,sexiest
impair,sexiness
impasse,sexy
impatien,sheltered
impede,sheltering
impediment,shelters
imperfect,shield
impersonal,shiny
impertinent,shrewd
impetuous,significanc
impinge,significant
implausib,simplify
implicat,sincer
impolit,sing
impossib,singing
impotent,sings
impoverish,sinless
imprecis,skill
imprison,skilled
improbab,skillful
improper,sky is the limit
improviden,sleek
imprudent,smart
impulsiv,smash hit
impur,smile
in hot water,smiling
inabilit,smitten
inaccessib,smooth
inaccur,smoothe
inactiv,smoothing
inadequa,smoothly
inane,smoothness
inappropriat,smooths
incapa,snug
incensed,so kind
incenses,sober
incensing,sobriety
incest,sociab
incoher,softhearted
incompatib,softness
incompetenc,solac
incompetent,solemn
incomplet,soothe
inconceivab,soothing
inconsiderat,sophisticat
inconsist,soulmate
inconsolab,sound
inconvenient,soundest
incorrect,soundly
incredulous,soundness
incriminat,sparkl
incurab,special
incursion,specialist
indebted,spectacular
indecent,spirit
indecis,spirited
indefinit,spiriting
indeterminat,spirits
indictment,spiritual
indifferenc,splend
indifferent,splendor
indigna,splendour
indiscriminat,spotless
indispos,sprightly
indistinct,stabili
ineffect,stable
inefficien,stableness
inept,stamina
inequal,stately
inequity,staunch
inexact,steadfast
inexcusab,steadiness
inexperienc,steady
inexplicab,stick by
inexpressiv,stick it out
inextinguishab,stick to it
infamous,stick up for
infect,stick with
infected,stimulat
infectio,straight and narrow
infects,straight shooter
inferior,straighten
infest,straightening
inflexib,straightest
inflict,straightforward
infrequent,strength
infring,stress free
infuriat,strifeless
inglorious,strike a balance
ingrat,strong
inhib,stronger
inhuman,strongest
inimical,stronghold
injunction,strongman
injur,struck a balance
injury,studious
injustic,stupendous
innuendo,sturdy
inquietud,stylish
insan,suav
inscrutab,sublime
insecur,subside
insensib,subsides
insensitiv,subsist
insidious,substantiat
insignificant,succeed
insincer,success
insinuat,successes
insipid,successful
insolenc,suckl
insolent,suffic
insoucianc,suggestiv
instab,suitability
insufferab,suitable
insufficien,suitably
insulate,sumptuous
insulated,sunny
insulates,super
insult,superable
insurgen,superably
interfer,superb
interrupt,superboy
intimidat,supercool
intolera,supereminen
intrud,supergirl
intrusi,supergroup
inundat,superhuman
invad,superior
invalid,superiority
invas,superlativ
invisib,superman
involuntary,supermen
irascib,superstar
irascibility,superwoman
irat,superwomen
ire,support
irk,surmount
ironic,surviv
irony,survivor
irrational,sustain
irreconcil,swear by
irregular,sweet
irrelevant,sweeten
irreparab,sweeter
irresponsib,sweetest
irrita,sweetheart
irritat,sweetie
isolat,sweetly
itchy,sweetness
jaded,sweets
jail,symboli
jargon,sympathetic
jarred,sympathi
jarring,sympathy
jars,symphon
jealou,tact
jeer,tactful
jeopard,taintless
jerk,talent
jitte,tasteful
joyless,teasingly
judgmental,temperance
jumbl,temperate
jumpy,temperately
junk,temperateness
junked,tempering
junking,tenacious
junks,tender
junky,tenderhearted
kick,tenderly
kicked,tenderness
kicking,terrific
kicks,thank
kidnap,thanked
kill,thanker
knif,thankf
kniv,thanking
knock,thanks
knocked,thankworthy
labyrinth,thaw
lachrymos,therapeutic
lack,thorough
lag,thoughtful
laggard,thrift
lagged,thrifti
lagging,thriftless
lags,thrifty
lame,thrill
languid,thriv
languish,tickl
languor,tidy
lapse,tingl
lapsed,tireless
lapses,titillat
laughab,tolera
laughingstock,top notch
lawles,top rated
lawsuit,topmost
lax,trained
lazi,tranquil
lazy,tranquilit
leaderless,tranquillit
leak,tranquilly
leery,tranquilness
lethal,treasure
liab,treasured
liar,treasures
lice,treasuring
lie to,tremendous
lied,tribute
lifeless,tributes
limit,triump
limita,trophy
limite,true
limiting,trust
limits,trustable
limp,trusted
limped,trustful
limper,trusti
limpid,trusts
limping,trustworth
limply,trusty
limpness,truth
limps,unaffected
litter,unbound
livid,unbroken
loath,unburden
lone,uncover
loom,unculpab
loop hol,undaunt
lopsided,undecked
lorn,under control
lose,understand
losing,undisput
loss,undoubted
lost,unfailing
lous,unforbidden
loveless,unforgettab
lovelorn,unimpeach
lovesick,uniqu
low end,unite
low expectation,united
low point,uniting
low quality,unity
low rank,unmaimed
low rated,unmolested
low regard,unselfish
lowborn,untiring
lowbred,untroubled
lowbrow,unwaver
lowermost,unworr
lowli,upgrade
lowly,uphold
luckless,uplift
ludicrous,upright
lunatic,upside
lure,useful
lured,utilitarian
lurer,valiant
lures,valid
lurid,valor
luring,valour
lurk,valuab
lust,vanquish
lustful,venerab
lying,venerat
lynch,veritab
mad,versatil
madd,viability
madhouse,viabl
madly,vibran
madman,victor
madmen,victory
madness,vigilan
madwoman,vigor
maggot,vigour
maim,virtue
maladjust,virtuo
malady,vision
malefic,visionar
malevolen,vital
malic,vivaciou
malign,vivacity
mangl,vivid
maniac,voluntary
manslaughter,vouchsaf
manur,walk on air
mar,warm
maraud,warmed
marginaliz,warmer
marred,warmest
marring,warmhearted
mars,warming
masochis,warmly
masquerad,warmness
massacr,warmth
meager,wealth
mean spirit,wedlock
meaner,welcom
meanest,well
meanies,wellness
meaningless,wholesom
meanly,willingly
meanness,willingness
meddl,win
mediocr,windfall
meek,winn
melanc,wins
menac,wisdom
menial,wise
merciless,wised
mess,wisely
messed,wiser
messes,wises
messier,wisest
messiest,wit
messiness,without a hitch
messing,witti
messy,witty
mildew,won
misanthrop,wonderf
misbehav,wondrous
miscarriage,woo
mischie,wooed
misconduct,wooer
misdeed,wooing
miser,woos
misfortun,workable
misgiving,workmanship
misguid,worship
mishandl,worth
mishap,worth while
misinform,worthi
misle,worthwhile
misog,worthy
misplacement,young at heart
misrepresent,zeal
misspeak,zealous
misspend,zest
misspent,
misspok,
misstat,
misstep,
mist,
mistak,
mistaught,
misteach,
mistook,
mistreat,
mistrust,
misty,
misunderstand,
misus,
moan,
mob,
mobb,
mobs,
mock,
mocked,
mocker,
mockeries,
mockers,
mockery,
mocking,
mocks,
mold,
moldi,
molds,
moldy,
molest,
monoton,
monster,
monstrous,
moodi,
moody,
mordacity,
moron,
mortal,
mortifi,
mortify,
motherf,
motionless,
mourn,
mud,
muddi,
muddl,
muddy,
mumbl,
mundan,
murder,
murkines,
murky,
mutter,
muzzle,
nag,
naiv,
narrow mind,
narrow vision,
nast,
naught,
nausea,
nauseous,
nay,
nebula,
nebulou,
needy,
negate,
negation,
negativ,
neglect,
negligen,
nepotis,
